Sales Person,Country,Product,Date,Amount,Boxes Shipped
Rafaelita Blaksland,India,Peanut Butter Cubes,9-Mar-22,"$3,171 ",310
Ches Bonnell,Canada,Drinking Coco,1-Feb-22,"$3,745 ",9
Kaine Padly,USA,After Nines,31-Aug-22,"$11,788 ",70
Dennison Crosswaite,Australia,Organic Choco Syrup,1-Mar-22,"$1,302 ",115
Madelene Upcott,UK,Mint Chip Choco,9-Jun-22,"$2,443 ",75
Jehu Rudeforth,Canada,Mint Chip Choco,30-May-22,"$6,510 ",377
Dennison Crosswaite,New Zealand,99% Dark & Pure,29-Jun-22,$749 ,149
Oby Sorrel,India,Spicy Special Slims,22-Jul-22,"$6,776 ",204
Dennison Crosswaite,USA,Orange Choco,12-Jan-22,"$3,626 ",123
Marney O'Breen,Australia,Smooth Sliky Salty,27-May-22,$483 ,85
Ches Bonnell,New Zealand,Raspberry Choco,22-Jul-22,"$5,894 ",9
Jan Morforth,USA,Drinking Coco,8-Mar-22,"$6,328 ",50
Camilla Castle,Canada,85% Dark Bars,23-Jun-22,"$16,233 ",205
Oby Sorrel,India,Baker's Choco Chips,16-Aug-22,"$3,745 ",98
Jehu Rudeforth,USA,Spicy Special Slims,17-Jan-22,"$12,586 ",350
Rafaelita Blaksland,Australia,85% Dark Bars,17-May-22,"$1,421 ",547
Wilone O'Kielt,Australia,After Nines,4-May-22,"$1,372 ",547
Roddy Speechley,Australia,Milk Bars,22-Apr-22,"$6,594 ",194
Camilla Castle,New Zealand,70% Dark Bites,5-Jan-22,"$8,897 ",401
Beverie Moffet,New Zealand,99% Dark & Pure,1-Feb-22,"$4,571 ",174
Gigi Bohling,Australia,Almond Choco,13-Apr-22,"$3,486 ",358
Barr Faughny,New Zealand,Almond Choco,22-Feb-22,"$1,505 ",75
Karlen McCaffrey,Canada,50% Dark Bites,18-Jul-22,"$16,401 ",1
Curtice Advani,Canada,Organic Choco Syrup,26-Jul-22,"$3,199 ",241
Dennison Crosswaite,Canada,Baker's Choco Chips,1-Aug-22,"$5,194 ",64
Gigi Bohling,India,Caramel Stuffed Bars,29-Jul-22,"$4,606 ",122
Rafaelita Blaksland,UK,Mint Chip Choco,21-Jan-22,"$2,107 ",198
Kaine Padly,New Zealand,Almond Choco,21-Jun-22,"$2,275 ",85
Gigi Bohling,Australia,Organic Choco Syrup,9-Feb-22,"$6,475 ",237
Roddy Speechley,India,50% Dark Bites,24-Mar-22,"$1,743 ",188
Beverie Moffet,USA,Raspberry Choco,28-Mar-22,"$10,815 ",307
Dennison Crosswaite,India,Spicy Special Slims,14-Feb-22,"$1,547 ",81
Karlen McCaffrey,UK,Fruit & Nut Bars,10-Feb-22,$49 ,184
Marney O'Breen,Canada,Fruit & Nut Bars,31-Mar-22,"$10,633 ",5
Andria Kimpton,New Zealand,Drinking Coco,12-Apr-22,"$7,756 ",430
Andria Kimpton,UK,Mint Chip Choco,25-Jul-22,"$12,586 ",114
Jan Morforth,Canada,Smooth Sliky Salty,28-Jul-22,"$6,832 ",99
Curtice Advani,New Zealand,Raspberry Choco,30-Aug-22,"$5,873 ",135
Roddy Speechley,Australia,Smooth Sliky Salty,29-Apr-22,"$7,602 ",186
Oby Sorrel,Canada,White Choc,19-Jan-22,"$1,666 ",149
Wilone O'Kielt,India,99% Dark & Pure,22-Apr-22,"$2,093 ",250
Kelci Walkden,India,Mint Chip Choco,31-Jan-22,"$3,955 ",132
Madelene Upcott,USA,Caramel Stuffed Bars,14-Jun-22,"$10,500 ",106
Karlen McCaffrey,New Zealand,Raspberry Choco,17-Feb-22,"$6,468 ",338
Marney O'Breen,Australia,Almond Choco,24-Jan-22,$749 ,539
Rafaelita Blaksland,Australia,Eclairs,13-May-22,"$10,024 ",265
Barr Faughny,USA,Orange Choco,14-Jun-22,"$9,982 ",295
Gigi Bohling,India,Spicy Special Slims,11-Aug-22,"$3,423 ",95
Mallorie Waber,USA,Orange Choco,31-May-22,"$7,077 ",47
Camilla Castle,New Zealand,Peanut Butter Cubes,27-Jun-22,"$13,356 ",464
Wilone O'Kielt,New Zealand,Manuka Honey Choco,8-Jul-22,"$2,030 ",314
Karlen McCaffrey,India,50% Dark Bites,4-Apr-22,"$2,870 ",92
Jan Morforth,New Zealand,Raspberry Choco,5-Apr-22,"$10,024 ",284
Ches Bonnell,UK,Eclairs,13-Apr-22,"$11,571 ",156
Beverie Moffet,Australia,Drinking Coco,11-Jul-22,"$10,976 ",228
Husein Augar,New Zealand,Smooth Sliky Salty,6-Jun-22,"$3,780 ",305
Oby Sorrel,Canada,White Choc,18-Apr-22,"$3,080 ",547
Mallorie Waber,New Zealand,Almond Choco,2-Aug-22,"$3,836 ",84
Barr Faughny,Canada,Smooth Sliky Salty,11-Feb-22,"$7,560 ",203
Camilla Castle,USA,Milk Bars,4-Jan-22,"$1,365 ",322
Kaine Padly,India,Peanut Butter Cubes,13-Jul-22,"$10,213 ",157
Beverie Moffet,India,Choco Coated Almonds,16-Mar-22,"$7,119 ",105
Kaine Padly,India,Orange Choco,1-Jul-22,"$9,884 ",353
Beverie Moffet,UK,After Nines,23-Aug-22,"$13,573 ",280
Rafaelita Blaksland,New Zealand,Milk Bars,3-Aug-22,"$6,139 ",152
Curtice Advani,Canada,Almond Choco,26-Apr-22,"$9,268 ",168
Beverie Moffet,UK,Baker's Choco Chips,28-Jan-22,"$5,397 ",118
Jehu Rudeforth,Canada,Spicy Special Slims,9-Jun-22,"$5,600 ",402
Kelci Walkden,India,Peanut Butter Cubes,29-Jul-22,$630 ,207
Roddy Speechley,New Zealand,Milk Bars,6-Jun-22,"$3,584 ",41
Wilone O'Kielt,USA,White Choc,17-May-22,"$7,154 ",306
Oby Sorrel,USA,Organic Choco Syrup,13-Jul-22,"$3,115 ",182
Camilla Castle,UK,Smooth Sliky Salty,6-Jun-22,"$6,944 ",302
Kelci Walkden,Australia,Peanut Butter Cubes,23-May-22,"$13,405 ",334
Madelene Upcott,Australia,After Nines,23-Aug-22,$77 ,116
Dotty Strutley,India,99% Dark & Pure,18-Mar-22,"$1,939 ",11
Brien Boise,USA,Organic Choco Syrup,25-Aug-22,"$1,218 ",108
Andria Kimpton,New Zealand,Milk Bars,4-May-22,$644 ,162
Kaine Padly,UK,70% Dark Bites,10-May-22,"$3,010 ",150
Gigi Bohling,India,Milk Bars,15-Aug-22,"$13,125 ",270
Beverie Moffet,USA,Spicy Special Slims,21-Jun-22,"$8,491 ",102
Jan Morforth,India,After Nines,26-May-22,"$7,602 ",156
Beverie Moffet,New Zealand,White Choc,13-Jul-22,$385 ,68
Gigi Bohling,USA,Smooth Sliky Salty,16-Jun-22,"$8,848 ",438
Marney O'Breen,India,Eclairs,24-Jun-22,"$7,770 ",390
Roddy Speechley,India,Organic Choco Syrup,9-May-22,"$9,625 ",59
Gunar Cockshoot,New Zealand,85% Dark Bars,25-Jul-22,"$3,311 ",88
Roddy Speechley,New Zealand,After Nines,5-Jul-22,"$7,196 ",244
Camilla Castle,USA,Fruit & Nut Bars,28-Jan-22,"$5,642 ",377
Barr Faughny,Australia,Orange Choco,27-May-22,"$4,746 ",320
Camilla Castle,India,Mint Chip Choco,28-Apr-22,"$2,926 ",81
Husein Augar,Australia,Orange Choco,22-Apr-22,"$10,500 ",413
Marney O'Breen,New Zealand,Smooth Sliky Salty,18-Jul-22,"$6,328 ",97
Ches Bonnell,Australia,Caramel Stuffed Bars,14-Feb-22,"$12,726 ",144
Madelene Upcott,UK,99% Dark & Pure,31-May-22,"$7,721 ",512
Karlen McCaffrey,Australia,85% Dark Bars,2-Jun-22,"$9,492 ",348
Curtice Advani,India,Baker's Choco Chips,15-Aug-22,"$11,571 ",215
Gigi Bohling,UK,Manuka Honey Choco,5-May-22,$497 ,419
Gigi Bohling,USA,Almond Choco,7-Jul-22,"$3,528 ",464
Ches Bonnell,USA,Fruit & Nut Bars,11-Apr-22,"$7,364 ",26
Barr Faughny,USA,Orange Choco,1-Apr-22,$784 ,155
Curtice Advani,New Zealand,Spicy Special Slims,2-May-22,"$3,493 ",315
Barr Faughny,India,Milk Bars,2-Jun-22,"$6,279 ",477
Brien Boise,Australia,70% Dark Bites,13-Apr-22,"$10,437 ",339
Madelene Upcott,UK,White Choc,25-Jul-22,"$7,126 ",294
Roddy Speechley,USA,Caramel Stuffed Bars,28-Jan-22,$497 ,591
Oby Sorrel,India,99% Dark & Pure,16-Jun-22,"$1,015 ",185
Rafaelita Blaksland,USA,Drinking Coco,27-Jul-22,"$2,317 ",508
Barr Faughny,Australia,Fruit & Nut Bars,5-Jul-22,"$10,479 ",333
Karlen McCaffrey,UK,Raspberry Choco,29-Jul-22,"$9,345 ",68
Kaine Padly,USA,Caramel Stuffed Bars,22-Jul-22,"$3,752 ",273
Curtice Advani,New Zealand,Caramel Stuffed Bars,31-Aug-22,$126 ,70
Kaine Padly,Canada,Spicy Special Slims,15-Mar-22,"$2,905 ",196
Jehu Rudeforth,Canada,85% Dark Bars,29-Jul-22,"$4,501 ",320
Madelene Upcott,India,Caramel Stuffed Bars,5-Aug-22,"$8,043 ",236
Camilla Castle,Australia,Choco Coated Almonds,2-Mar-22,$448 ,217
Camilla Castle,India,Eclairs,21-Jan-22,"$6,454 ",125
Van Tuxwell,India,Manuka Honey Choco,25-Jan-22,"$4,571 ",76
Husein Augar,UK,Almond Choco,3-Aug-22,"$1,645 ",88
Kelci Walkden,UK,99% Dark & Pure,20-May-22,"$12,586 ",77
Kaine Padly,UK,Manuka Honey Choco,27-Jul-22,"$7,063 ",30
Roddy Speechley,USA,Almond Choco,11-Apr-22,"$1,617 ",138
Oby Sorrel,USA,Peanut Butter Cubes,15-Jun-22,"$5,614 ",81
Curtice Advani,India,Organic Choco Syrup,10-Feb-22,"$6,272 ",224
Barr Faughny,New Zealand,Spicy Special Slims,31-Jan-22,"$5,579 ",68
Jan Morforth,UK,Baker's Choco Chips,16-Mar-22,$49 ,164
Kaine Padly,USA,Eclairs,16-Aug-22,"$13,006 ",123
Husein Augar,India,85% Dark Bars,15-Jun-22,$910 ,180
Jan Morforth,Australia,Drinking Coco,14-Feb-22,"$4,256 ",293
Camilla Castle,USA,Milk Bars,10-May-22,"$8,393 ",130
Beverie Moffet,USA,Drinking Coco,28-Jun-22,"$1,512 ",709
Husein Augar,Australia,Organic Choco Syrup,14-Jan-22,"$2,800 ",107
Marney O'Breen,Canada,Eclairs,30-Mar-22,"$1,848 ",543
Wilone O'Kielt,India,Peanut Butter Cubes,15-Mar-22,"$6,489 ",20
Ches Bonnell,Australia,Spicy Special Slims,4-Jan-22,"$14,658 ",309
Madelene Upcott,UK,Peanut Butter Cubes,28-Jan-22,"$5,299 ",271
Karlen McCaffrey,India,Baker's Choco Chips,7-Jun-22,"$1,463 ",390
Rafaelita Blaksland,UK,Fruit & Nut Bars,22-Jul-22,"$1,813 ",162
Jan Morforth,India,Fruit & Nut Bars,26-Apr-22,"$6,867 ",212
Husein Augar,Canada,White Choc,26-May-22,"$5,327 ",390
Madelene Upcott,Australia,Fruit & Nut Bars,21-Jun-22,"$1,981 ",136
Curtice Advani,India,Manuka Honey Choco,10-Mar-22,"$6,510 ",113
Gunar Cockshoot,Canada,Mint Chip Choco,25-Jul-22,"$2,597 ",317
Barr Faughny,UK,Eclairs,27-May-22,"$8,680 ",29
Roddy Speechley,USA,50% Dark Bites,13-Jun-22,"$9,324 ",54
Curtice Advani,India,50% Dark Bites,19-Aug-22,"$10,437 ",31
Gunar Cockshoot,USA,70% Dark Bites,30-Aug-22,"$6,559 ",403
Roddy Speechley,Canada,Organic Choco Syrup,10-Jan-22,"$9,198 ",547
Curtice Advani,Australia,Baker's Choco Chips,30-Jun-22,"$3,997 ",150
Jehu Rudeforth,Canada,Raspberry Choco,16-May-22,"$13,503 ",469
Oby Sorrel,India,Milk Bars,2-May-22,"$13,846 ",347
Karlen McCaffrey,Canada,Orange Choco,10-Jan-22,"$1,351 ",421
Andria Kimpton,USA,Orange Choco,30-Aug-22,"$8,603 ",77
Jehu Rudeforth,Canada,Almond Choco,14-Mar-22,"$6,321 ",35
Kelci Walkden,Australia,Almond Choco,2-Mar-22,$28 ,285
Barr Faughny,USA,Choco Coated Almonds,19-Apr-22,"$6,489 ",72
Rafaelita Blaksland,USA,70% Dark Bites,22-Feb-22,"$5,180 ",256
Gunar Cockshoot,Canada,After Nines,24-Mar-22,"$5,768 ",246
Kelci Walkden,New Zealand,70% Dark Bites,3-Jun-22,"$7,231 ",202
Curtice Advani,India,Orange Choco,1-Feb-22,$378 ,271
Madelene Upcott,India,Choco Coated Almonds,30-Mar-22,"$3,752 ",597
Mallorie Waber,UK,Fruit & Nut Bars,26-May-22,"$4,410 ",127
Andria Kimpton,Canada,Eclairs,19-Aug-22,"$3,108 ",116
Gunar Cockshoot,India,Peanut Butter Cubes,8-Feb-22,"$1,575 ",80
Husein Augar,UK,85% Dark Bars,22-Aug-22,$973 ,27
Mallorie Waber,New Zealand,Spicy Special Slims,25-May-22,"$2,107 ",387
Dotty Strutley,New Zealand,Orange Choco,15-Apr-22,"$5,852 ",11
Andria Kimpton,USA,50% Dark Bites,24-Feb-22,"$4,557 ",199
Madelene Upcott,New Zealand,Manuka Honey Choco,6-Apr-22,"$5,460 ",76
Gigi Bohling,India,Eclairs,17-Jun-22,"$5,250 ",235
Marney O'Breen,UK,Smooth Sliky Salty,26-Apr-22,"$6,818 ",336
Dotty Strutley,New Zealand,Mint Chip Choco,24-Jun-22,"$4,571 ",209
Camilla Castle,Australia,Raspberry Choco,14-Jun-22,"$5,684 ",74
Marney O'Breen,Canada,99% Dark & Pure,14-Feb-22,"$3,640 ",82
Gigi Bohling,New Zealand,White Choc,13-Jun-22,$784 ,196
Jan Morforth,UK,Baker's Choco Chips,19-Aug-22,"$2,926 ",171
Brien Boise,Australia,Fruit & Nut Bars,16-Feb-22,"$9,310 ",226
Andria Kimpton,India,Eclairs,9-Feb-22,$63 ,75
Barr Faughny,USA,Peanut Butter Cubes,30-Aug-22,"$2,632 ",114
Marney O'Breen,Australia,Choco Coated Almonds,20-Jun-22,"$7,770 ",66
Dennison Crosswaite,Canada,Raspberry Choco,14-Jan-22,"$3,500 ",63
Gunar Cockshoot,USA,Raspberry Choco,9-May-22,"$6,657 ",338
Kaine Padly,Canada,Drinking Coco,28-Jul-22,"$10,927 ",72
Gunar Cockshoot,India,Baker's Choco Chips,11-Apr-22,"$4,704 ",23
Beverie Moffet,India,Peanut Butter Cubes,12-Jul-22,"$12,313 ",265
Dotty Strutley,USA,Organic Choco Syrup,8-Aug-22,$392 ,126
Gigi Bohling,New Zealand,Raspberry Choco,13-Jan-22,"$5,936 ",174
Husein Augar,New Zealand,White Choc,8-Apr-22,"$7,077 ",392
Dennison Crosswaite,India,White Choc,21-Mar-22,"$3,094 ",160
Beverie Moffet,UK,70% Dark Bites,16-Aug-22,"$4,977 ",71
Beverie Moffet,New Zealand,Baker's Choco Chips,10-Jan-22,"$7,126 ",614
Kaine Padly,Australia,Raspberry Choco,12-Apr-22,"$1,190 ",126
Gigi Bohling,India,Fruit & Nut Bars,29-Mar-22,"$5,194 ",31
Marney O'Breen,UK,85% Dark Bars,25-Mar-22,"$12,271 ",92
Gigi Bohling,India,Drinking Coco,30-Aug-22,"$1,043 ",447
Husein Augar,USA,50% Dark Bites,4-Jul-22,"$16,569 ",418
Jehu Rudeforth,UK,Raspberry Choco,19-May-22,"$1,379 ",153
Dotty Strutley,India,99% Dark & Pure,27-May-22,"$1,645 ",524
Gigi Bohling,India,Organic Choco Syrup,6-Apr-22,"$1,225 ",339
Camilla Castle,India,Almond Choco,30-Aug-22,"$7,462 ",184
Ches Bonnell,New Zealand,Baker's Choco Chips,26-Jul-22,"$4,494 ",392
Wilone O'Kielt,New Zealand,White Choc,20-May-22,"$5,768 ",316
Curtice Advani,Canada,After Nines,26-Jul-22,"$7,882 ",54
Husein Augar,UK,50% Dark Bites,20-Jan-22,"$7,413 ",220
Rafaelita Blaksland,USA,Peanut Butter Cubes,11-Jan-22,"$5,614 ",187
Oby Sorrel,Canada,99% Dark & Pure,27-Jul-22,"$3,010 ",128
Ches Bonnell,USA,Baker's Choco Chips,8-Jun-22,"$2,611 ",109
Mallorie Waber,Canada,Choco Coated Almonds,8-Jun-22,"$5,061 ",243
Kaine Padly,Australia,85% Dark Bars,28-Mar-22,"$4,935 ",19
Brien Boise,India,99% Dark & Pure,29-Jun-22,"$4,151 ",99
Van Tuxwell,India,Orange Choco,1-Feb-22,"$1,946 ",123
Jan Morforth,New Zealand,Manuka Honey Choco,11-May-22,"$14,028 ",162
Roddy Speechley,Canada,After Nines,6-Jul-22,"$13,076 ",178
Curtice Advani,UK,After Nines,1-Feb-22,"$4,074 ",457
Marney O'Breen,UK,Peanut Butter Cubes,26-Jul-22,"$8,267 ",156
Kaine Padly,UK,Manuka Honey Choco,29-Apr-22,"$5,131 ",12
Gunar Cockshoot,India,White Choc,12-Aug-22,"$1,218 ",413
Ches Bonnell,Australia,70% Dark Bites,28-Jul-22,"$7,175 ",98
Camilla Castle,India,Caramel Stuffed Bars,7-Mar-22,"$3,297 ",107
Roddy Speechley,UK,Manuka Honey Choco,7-Feb-22,"$1,652 ",180
Marney O'Breen,India,Raspberry Choco,2-Aug-22,"$1,421 ",105
Gunar Cockshoot,India,99% Dark & Pure,12-Apr-22,$455 ,352
Brien Boise,Australia,70% Dark Bites,27-Jan-22,"$10,241 ",467
Andria Kimpton,USA,Caramel Stuffed Bars,16-Aug-22,"$2,303 ",116
Mallorie Waber,UK,85% Dark Bars,1-Mar-22,"$5,103 ",250
Husein Augar,Canada,Milk Bars,21-Mar-22,"$3,388 ",41
Dennison Crosswaite,India,99% Dark & Pure,28-Jul-22,"$3,528 ",55
Gigi Bohling,Australia,Smooth Sliky Salty,15-Apr-22,"$5,768 ",58
Andria Kimpton,UK,After Nines,11-Feb-22,"$8,715 ",581
Oby Sorrel,New Zealand,Peanut Butter Cubes,23-Aug-22,"$5,852 ",53
Jan Morforth,Australia,Baker's Choco Chips,25-Mar-22,"$2,604 ",411
Andria Kimpton,India,Baker's Choco Chips,19-Apr-22,"$1,512 ",223
Husein Augar,Australia,After Nines,14-Mar-22,"$3,500 ",83
Oby Sorrel,UK,Almond Choco,15-Feb-22,$777 ,120
Barr Faughny,India,Baker's Choco Chips,29-Jul-22,"$4,550 ",348
Mallorie Waber,Australia,Caramel Stuffed Bars,8-Apr-22,"$4,641 ",1
Kelci Walkden,UK,Organic Choco Syrup,21-Apr-22,"$2,751 ",130
Curtice Advani,USA,Manuka Honey Choco,22-Jun-22,"$8,197 ",354
Roddy Speechley,USA,Peanut Butter Cubes,20-Apr-22,"$4,816 ",19
Husein Augar,India,Mint Chip Choco,17-Aug-22,"$6,055 ",259
Ches Bonnell,India,Orange Choco,29-Apr-22,$301 ,247
Jan Morforth,Australia,Peanut Butter Cubes,12-Apr-22,"$10,486 ",48
Wilone O'Kielt,New Zealand,White Choc,9-Aug-22,"$2,205 ",228
Camilla Castle,New Zealand,Orange Choco,30-Mar-22,"$4,676 ",265
Kelci Walkden,USA,Fruit & Nut Bars,29-Apr-22,"$8,799 ",91
Curtice Advani,UK,Baker's Choco Chips,7-Mar-22,"$6,867 ",329
Brien Boise,UK,Spicy Special Slims,6-Jun-22,"$4,221 ",155
Madelene Upcott,India,50% Dark Bites,6-May-22,"$4,669 ",264
Mallorie Waber,UK,Eclairs,4-Jul-22,$7 ,226
Gunar Cockshoot,UK,Eclairs,1-Apr-22,"$5,908 ",37
Rafaelita Blaksland,India,Caramel Stuffed Bars,9-May-22,"$10,038 ",241
Mallorie Waber,India,Fruit & Nut Bars,3-Feb-22,"$1,729 ",482
Madelene Upcott,India,Almond Choco,25-Feb-22,$581 ,30
Camilla Castle,India,After Nines,10-Mar-22,$70 ,112
Wilone O'Kielt,India,Organic Choco Syrup,15-Jun-22,"$16,982 ",235
Madelene Upcott,UK,White Choc,9-Aug-22,"$13,685 ",72
Marney O'Breen,Canada,Peanut Butter Cubes,19-May-22,"$16,702 ",156
Madelene Upcott,UK,Manuka Honey Choco,13-Jan-22,"$6,272 ",34
Andria Kimpton,USA,Mint Chip Choco,11-May-22,"$12,327 ",4
Andria Kimpton,USA,Caramel Stuffed Bars,8-Mar-22,"$3,087 ",401
Gigi Bohling,USA,85% Dark Bars,3-Aug-22,"$8,169 ",239
Beverie Moffet,Canada,99% Dark & Pure,22-Apr-22,"$15,057 ",315
Wilone O'Kielt,New Zealand,Eclairs,31-Aug-22,"$1,141 ",281
Jehu Rudeforth,India,Drinking Coco,17-Jun-22,$448 ,296
Gigi Bohling,USA,Baker's Choco Chips,20-Apr-22,"$2,093 ",61
Ches Bonnell,New Zealand,Caramel Stuffed Bars,12-Aug-22,$672 ,418
Beverie Moffet,Australia,Smooth Sliky Salty,31-Jan-22,"$8,512 ",81
Oby Sorrel,Canada,White Choc,9-Mar-22,"$5,012 ",591
Van Tuxwell,USA,Raspberry Choco,10-Jun-22,"$7,609 ",223
Gigi Bohling,UK,Manuka Honey Choco,29-Mar-22,"$6,475 ",124
Gunar Cockshoot,UK,Mint Chip Choco,23-Jun-22,"$10,185 ",142
Oby Sorrel,India,Spicy Special Slims,12-Aug-22,"$3,528 ",339
Dotty Strutley,USA,Baker's Choco Chips,20-Jul-22,"$5,768 ",319
Brien Boise,USA,Mint Chip Choco,17-Feb-22,"$2,205 ",356
Andria Kimpton,New Zealand,Eclairs,28-Feb-22,"$15,008 ",314
Dotty Strutley,New Zealand,White Choc,3-Jun-22,"$2,744 ",181
Marney O'Breen,India,Drinking Coco,6-Jul-22,"$8,491 ",19
Beverie Moffet,India,Orange Choco,21-Jun-22,"$4,760 ",79
Kelci Walkden,New Zealand,Choco Coated Almonds,30-May-22,"$6,888 ",229
Madelene Upcott,Canada,After Nines,10-Jan-22,"$9,982 ",256
Rafaelita Blaksland,India,Organic Choco Syrup,9-Feb-22,"$4,494 ",85
Camilla Castle,New Zealand,Fruit & Nut Bars,8-Feb-22,$84 ,320
Gunar Cockshoot,New Zealand,Milk Bars,24-Mar-22,"$5,397 ",113
Beverie Moffet,UK,70% Dark Bites,21-Jun-22,"$13,573 ",94
Camilla Castle,UK,Orange Choco,8-Feb-22,"$11,718 ",469
Ches Bonnell,Australia,99% Dark & Pure,5-Apr-22,"$6,342 ",137
Ches Bonnell,USA,85% Dark Bars,17-Jun-22,"$3,969 ",55
Van Tuxwell,Australia,Manuka Honey Choco,20-Jun-22,"$14,238 ",249
Rafaelita Blaksland,UK,Choco Coated Almonds,29-Jul-22,"$16,982 ",63
Kelci Walkden,UK,Mint Chip Choco,28-Apr-22,"$10,689 ",371
Dennison Crosswaite,Canada,70% Dark Bites,18-Mar-22,"$5,460 ",128
Rafaelita Blaksland,UK,Raspberry Choco,25-Jan-22,"$1,379 ",83
Van Tuxwell,USA,Milk Bars,13-May-22,"$4,753 ",8
Andria Kimpton,UK,Caramel Stuffed Bars,4-Jul-22,"$4,067 ",311
Husein Augar,Australia,Raspberry Choco,27-Jan-22,"$12,992 ",197
Curtice Advani,UK,Peanut Butter Cubes,26-Jan-22,"$12,362 ",29
Husein Augar,Australia,Fruit & Nut Bars,18-May-22,"$4,522 ",182
Jehu Rudeforth,USA,Organic Choco Syrup,2-May-22,"$11,095 ",252
Dennison Crosswaite,India,Caramel Stuffed Bars,1-Mar-22,"$6,069 ",146
Andria Kimpton,India,Mint Chip Choco,19-Aug-22,"$9,625 ",86
Ches Bonnell,Canada,Eclairs,12-Jul-22,"$6,328 ",469
Husein Augar,New Zealand,Drinking Coco,16-Feb-22,"$3,864 ",185
Roddy Speechley,Australia,Drinking Coco,11-Aug-22,"$2,478 ",447
Madelene Upcott,India,Smooth Sliky Salty,3-Feb-22,"$2,786 ",424
Madelene Upcott,USA,Raspberry Choco,1-Feb-22,"$5,887 ",371
Gigi Bohling,Australia,85% Dark Bars,23-May-22,"$5,194 ",419
Madelene Upcott,Canada,Mint Chip Choco,25-Aug-22,$651 ,301
Mallorie Waber,India,Milk Bars,11-Jan-22,"$8,463 ",709
Barr Faughny,UK,Raspberry Choco,23-Mar-22,"$8,190 ",275
Husein Augar,USA,Milk Bars,18-Jan-22,"$6,797 ",410
Mallorie Waber,USA,After Nines,28-Jul-22,$280 ,116
Beverie Moffet,Australia,Drinking Coco,12-Aug-22,"$11,095 ",90
Husein Augar,India,Manuka Honey Choco,8-Jul-22,"$1,316 ",163
Mallorie Waber,UK,Orange Choco,10-Mar-22,"$10,486 ",130
Kelci Walkden,Canada,Almond Choco,31-Jan-22,"$8,680 ",130
Kaine Padly,USA,70% Dark Bites,25-Jul-22,"$1,512 ",317
Jan Morforth,Australia,85% Dark Bars,20-Apr-22,"$9,275 ",244
Camilla Castle,Canada,Baker's Choco Chips,11-Jul-22,$868 ,112
Roddy Speechley,India,50% Dark Bites,21-Jul-22,"$13,685 ",158
Kelci Walkden,New Zealand,85% Dark Bars,14-Jul-22,"$1,960 ",105
Gigi Bohling,India,50% Dark Bites,10-Mar-22,"$2,506 ",354
Jehu Rudeforth,UK,Organic Choco Syrup,17-Aug-22,"$6,839 ",173
Oby Sorrel,Australia,Almond Choco,24-Jan-22,$749 ,468
Wilone O'Kielt,Australia,Peanut Butter Cubes,19-Jan-22,"$1,645 ",219
Jehu Rudeforth,New Zealand,Mint Chip Choco,9-Mar-22,"$3,374 ",79
Andria Kimpton,Australia,Spicy Special Slims,28-Jan-22,"$13,573 ",51
Karlen McCaffrey,UK,Drinking Coco,11-Mar-22,"$2,282 ",280
Oby Sorrel,India,Caramel Stuffed Bars,18-Aug-22,$546 ,554
Roddy Speechley,Australia,Milk Bars,8-Apr-22,"$1,582 ",1
Andria Kimpton,UK,Spicy Special Slims,18-Aug-22,"$6,524 ",26
Husein Augar,USA,Manuka Honey Choco,22-Mar-22,"$3,087 ",347
Van Tuxwell,UK,Organic Choco Syrup,17-May-22,"$16,016 ",447
Marney O'Breen,UK,Peanut Butter Cubes,28-Mar-22,"$3,297 ",50
Jan Morforth,Canada,99% Dark & Pure,11-May-22,"$4,627 ",314
Madelene Upcott,New Zealand,Orange Choco,26-Jul-22,"$5,684 ",614
Gigi Bohling,UK,Raspberry Choco,12-May-22,"$1,526 ",28
Wilone O'Kielt,USA,Almond Choco,26-Aug-22,"$1,365 ",164
Wilone O'Kielt,Australia,Organic Choco Syrup,24-Jun-22,"$11,564 ",334
Kaine Padly,Australia,Smooth Sliky Salty,7-Jul-22,"$6,139 ",272
Oby Sorrel,Australia,Smooth Sliky Salty,14-Jul-22,"$6,657 ",304
Kaine Padly,USA,Fruit & Nut Bars,15-Feb-22,"$10,815 ",361
Gigi Bohling,New Zealand,Peanut Butter Cubes,27-Apr-22,"$13,062 ",110
Jehu Rudeforth,Australia,Raspberry Choco,12-Jan-22,"$2,688 ",216
Husein Augar,New Zealand,Drinking Coco,31-Mar-22,$938 ,73
Roddy Speechley,USA,70% Dark Bites,19-Apr-22,$910 ,87
Gunar Cockshoot,Canada,50% Dark Bites,24-Jun-22,"$2,387 ",126
Marney O'Breen,UK,Eclairs,16-Jun-22,"$4,326 ",61
Dotty Strutley,USA,Caramel Stuffed Bars,24-Jan-22,"$2,653 ",35
Van Tuxwell,UK,Peanut Butter Cubes,1-Jun-22,"$14,238 ",228
Roddy Speechley,India,50% Dark Bites,3-Feb-22,"$8,848 ",234
Curtice Advani,USA,99% Dark & Pure,24-Feb-22,"$8,379 ",92
Brien Boise,Canada,Spicy Special Slims,28-Jun-22,"$2,520 ",197
Husein Augar,Canada,Raspberry Choco,28-Mar-22,"$2,387 ",341
Andria Kimpton,Canada,Smooth Sliky Salty,17-Feb-22,"$3,010 ",173
Andria Kimpton,India,70% Dark Bites,6-May-22,"$6,188 ",23
